zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,geological_description,number_k_samples,mean_k,k_quoted_error,k_assigned_error,min_k,max_k,k_distribution
10.0,nan,1,0.0,0.0,0.0,14.5,nan,0.7071067811865476,nan,nan,1.4,nan,0.2,nan,nan,in_situ_normal
19.0,nan,1,14.5,nan,0.7071067811865476,19.5,nan,0.7071067811865476,nan,nan,1.3,nan,0.2,nan,nan,in_situ_normal
20.0,nan,1,19.5,nan,0.7071067811865476,22.5,nan,0.7071067811865476,nan,nan,3.1,nan,0.2,nan,nan,in_situ_normal
25.0,nan,1,22.5,nan,0.7071067811865476,28.0,nan,0.7071067811865476,nan,nan,2.1,nan,0.2,nan,nan,in_situ_normal
31.0,nan,1,28.0,nan,0.7071067811865476,33.5,nan,0.7071067811865476,nan,nan,2.5,nan,0.2,nan,nan,in_situ_normal
36.0,nan,1,33.5,nan,0.7071067811865476,38.5,nan,0.7071067811865476,nan,nan,2.2,nan,0.2,nan,nan,in_situ_normal
41.0,nan,1,38.5,nan,0.7071067811865476,46.0,nan,0.7071067811865476,nan,nan,2.2,nan,0.2,nan,nan,in_situ_normal
51.0,nan,1,46.0,nan,0.7071067811865476,52.5,nan,0.7071067811865476,nan,nan,4.2,nan,0.2,nan,nan,in_situ_normal
54.0,nan,1,52.5,nan,0.7071067811865476,57.5,nan,0.7071067811865476,nan,nan,3.6,nan,0.2,nan,nan,in_situ_normal
61.0,nan,1,57.5,nan,0.7071067811865476,62.5,nan,0.7071067811865476,nan,nan,2.2,nan,0.2,nan,nan,in_situ_normal
64.0,nan,1,62.5,nan,0.7071067811865476,67.0,nan,0.7071067811865476,nan,nan,3.2,nan,0.2,nan,nan,in_situ_normal
70.0,nan,1,67.0,nan,0.7071067811865476,71.5,nan,0.7071067811865476,nan,nan,2.7,nan,0.2,nan,nan,in_situ_normal
73.0,nan,1,71.5,nan,0.7071067811865476,76.5,nan,0.7071067811865476,nan,nan,2.8,nan,0.2,nan,nan,in_situ_normal
80.0,nan,1,76.5,nan,0.7071067811865476,81.5,nan,0.7071067811865476,nan,nan,3.3,nan,0.2,nan,nan,in_situ_normal
83.0,nan,1,81.5,nan,0.7071067811865476,86.0,nan,0.7071067811865476,nan,nan,5.3,nan,0.2,nan,nan,in_situ_normal
89.0,nan,1,86.0,nan,0.7071067811865476,94.0,nan,0.7071067811865476,nan,nan,2.5,nan,0.2,nan,nan,in_situ_normal
99.0,nan,1,94.0,nan,0.7071067811865476,100.5,nan,0.7071067811865476,nan,nan,3.4,nan,0.2,nan,nan,in_situ_normal
102.0,nan,1,100.5,nan,0.7071067811865476,106.5,nan,0.7071067811865476,nan,nan,3.0,nan,0.2,nan,nan,in_situ_normal
111.0,nan,1,106.5,nan,0.7071067811865476,113.0,nan,0.7071067811865476,nan,nan,2.44,nan,0.2,nan,nan,in_situ_normal
115.0,nan,1,113.0,nan,0.7071067811865476,118.0,nan,0.7071067811865476,nan,nan,2.15,nan,0.2,nan,nan,in_situ_normal
121.0,nan,1,118.0,nan,0.7071067811865476,124.0,nan,0.7071067811865476,nan,nan,1.79,nan,0.2,nan,nan,in_situ_normal
127.0,nan,1,124.0,nan,0.7071067811865476,130.0,nan,0.7071067811865476,nan,nan,2.3,nan,0.2,nan,nan,in_situ_normal
133.0,nan,1,130.0,nan,0.7071067811865476,136.5,nan,0.7071067811865476,nan,nan,2.86,nan,0.2,nan,nan,in_situ_normal
140.0,nan,1,136.5,nan,0.7071067811865476,141.5,nan,0.7071067811865476,nan,nan,3.0,nan,0.2,nan,nan,in_situ_normal
143.0,nan,1,141.5,nan,0.7071067811865476,146.0,nan,0.7071067811865476,nan,nan,2.54,nan,0.2,nan,nan,in_situ_normal
149.0,nan,1,146.0,nan,0.7071067811865476,154.5,nan,0.7071067811865476,nan,nan,2.12,nan,0.2,nan,nan,in_situ_normal
160.0,nan,1,154.5,nan,0.7071067811865476,161.5,nan,0.7071067811865476,nan,nan,2.51,nan,0.2,nan,nan,in_situ_normal
163.0,nan,1,161.5,nan,0.7071067811865476,167.0,nan,0.7071067811865476,nan,nan,3.61,nan,0.2,nan,nan,in_situ_normal
171.0,nan,1,167.0,nan,0.7071067811865476,176.0,nan,0.7071067811865476,nan,nan,3.05,nan,0.2,nan,nan,in_situ_normal
181.0,nan,1,176.0,nan,0.7071067811865476,182.5,nan,0.7071067811865476,nan,nan,3.26,nan,0.2,nan,nan,in_situ_normal
184.0,nan,1,182.5,nan,0.7071067811865476,187.5,nan,0.7071067811865476,nan,nan,2.51,nan,0.2,nan,nan,in_situ_normal
191.0,nan,1,187.5,nan,0.7071067811865476,192.5,nan,0.7071067811865476,nan,nan,2.13,nan,0.2,nan,nan,in_situ_normal
194.0,nan,1,192.5,nan,0.7071067811865476,197.0,nan,0.7071067811865476,nan,nan,2.26,nan,0.2,nan,nan,in_situ_normal
200.0,nan,1,197.0,nan,0.7071067811865476,203.0,nan,0.7071067811865476,nan,nan,1.78,nan,0.2,nan,nan,in_situ_normal
206.0,nan,1,203.0,nan,0.7071067811865476,211.5,nan,0.7071067811865476,nan,nan,1.78,nan,0.2,nan,nan,in_situ_normal
217.0,nan,1,211.5,nan,0.7071067811865476,221.0,nan,0.7071067811865476,nan,nan,1.66,nan,0.2,nan,nan,in_situ_normal
225.0,nan,1,221.0,nan,0.7071067811865476,228.0,nan,0.7071067811865476,nan,nan,1.78,nan,0.2,nan,nan,in_situ_normal
231.0,nan,1,228.0,nan,0.7071067811865476,232.5,nan,0.7071067811865476,nan,nan,1.6,nan,0.2,nan,nan,in_situ_normal
234.0,nan,1,232.5,nan,0.7071067811865476,237.5,nan,0.7071067811865476,nan,nan,1.67,nan,0.2,nan,nan,in_situ_normal
241.0,nan,1,237.5,nan,0.7071067811865476,242.5,nan,0.7071067811865476,nan,nan,1.47,nan,0.2,nan,nan,in_situ_normal
244.0,nan,1,242.5,nan,0.7071067811865476,247.0,nan,0.7071067811865476,nan,nan,1.7,nan,0.2,nan,nan,in_situ_normal
250.0,nan,1,247.0,nan,0.7071067811865476,253.0,nan,0.7071067811865476,nan,nan,2.0,nan,0.2,nan,nan,in_situ_normal
256.0,nan,1,253.0,nan,0.7071067811865476,259.0,nan,0.7071067811865476,nan,nan,2.15,nan,0.2,nan,nan,in_situ_normal
262.0,nan,1,259.0,nan,0.7071067811865476,266.5,nan,0.7071067811865476,nan,nan,1.79,nan,0.2,nan,nan,in_situ_normal
271.0,nan,1,266.5,nan,0.7071067811865476,272.5,nan,0.7071067811865476,nan,nan,2.2,nan,0.2,nan,nan,in_situ_normal
274.0,nan,1,272.5,nan,0.7071067811865476,277.5,nan,0.7071067811865476,nan,nan,2.58,nan,0.2,nan,nan,in_situ_normal
281.0,nan,1,277.5,nan,0.7071067811865476,282.5,nan,0.7071067811865476,nan,nan,3.35,nan,0.2,nan,nan,in_situ_normal
284.0,nan,1,282.5,nan,0.7071067811865476,287.5,nan,0.7071067811865476,nan,nan,2.65,nan,0.2,nan,nan,in_situ_normal
291.0,nan,1,287.5,nan,0.7071067811865476,292.5,nan,0.7071067811865476,nan,nan,2.91,nan,0.2,nan,nan,in_situ_normal
294.0,nan,1,292.5,nan,0.7071067811865476,297.0,nan,0.7071067811865476,nan,nan,2.94,nan,0.2,nan,nan,in_situ_normal
300.0,nan,1,297.0,nan,0.7071067811865476,301.5,nan,0.7071067811865476,nan,nan,2.19,nan,0.2,nan,nan,in_situ_normal
303.0,nan,1,301.5,nan,0.7071067811865476,306.0,nan,0.7071067811865476,nan,nan,1.45,nan,0.2,nan,nan,in_situ_normal
309.0,nan,1,306.0,nan,0.7071067811865476,310.5,nan,0.7071067811865476,nan,nan,2.77,nan,0.2,nan,nan,in_situ_normal
312.0,nan,1,310.5,nan,0.7071067811865476,315.5,nan,0.7071067811865476,nan,nan,3.13,nan,0.2,nan,nan,in_situ_normal
319.0,nan,1,315.5,nan,0.7071067811865476,320.5,nan,0.7071067811865476,nan,nan,3.14,nan,0.2,nan,nan,in_situ_normal
322.0,nan,1,320.5,nan,0.7071067811865476,328.0,nan,0.7071067811865476,nan,nan,2.51,nan,0.2,nan,nan,in_situ_normal
334.0,nan,1,328.0,nan,0.7071067811865476,337.5,nan,0.7071067811865476,nan,nan,2.35,nan,0.2,nan,nan,in_situ_normal
341.0,nan,1,337.5,nan,0.7071067811865476,342.5,nan,0.7071067811865476,nan,nan,2.18,nan,0.2,nan,nan,in_situ_normal
344.0,nan,1,342.5,nan,0.7071067811865476,347.0,nan,0.7071067811865476,nan,nan,2.33,nan,0.2,nan,nan,in_situ_normal
350.0,nan,1,347.0,nan,0.7071067811865476,352.0,nan,0.7071067811865476,nan,nan,3.55,nan,0.2,nan,nan,in_situ_normal
354.0,nan,1,352.0,nan,0.7071067811865476,357.0,nan,0.7071067811865476,nan,nan,3.3,nan,0.2,nan,nan,in_situ_normal
360.0,nan,1,357.0,nan,0.7071067811865476,361.5,nan,0.7071067811865476,nan,nan,3.27,nan,0.2,nan,nan,in_situ_normal
363.0,nan,1,361.5,nan,0.7071067811865476,368.0,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
373.0,nan,1,368.0,nan,0.7071067811865476,375.5,nan,0.7071067811865476,nan,nan,3.6,nan,0.2,nan,nan,in_situ_normal
378.0,nan,1,375.5,nan,0.7071067811865476,382.0,nan,0.7071067811865476,nan,nan,3.07,nan,0.2,nan,nan,in_situ_normal
386.0,nan,1,382.0,nan,0.7071067811865476,390.0,nan,0.7071067811865476,nan,nan,3.59,nan,0.2,nan,nan,in_situ_normal
394.0,nan,1,390.0,nan,0.7071067811865476,400.0,nan,0.7071067811865476,nan,nan,3.49,nan,0.2,nan,nan,in_situ_normal
406.0,nan,1,400.0,nan,0.7071067811865476,407.5,nan,0.7071067811865476,nan,nan,3.9,nan,0.2,nan,nan,in_situ_normal
409.0,nan,1,407.5,nan,0.7071067811865476,415.0,nan,0.7071067811865476,nan,nan,3.25,nan,0.2,nan,nan,in_situ_normal
421.0,nan,1,415.0,nan,0.7071067811865476,425.0,nan,0.7071067811865476,nan,nan,3.31,nan,0.2,nan,nan,in_situ_normal
429.0,nan,1,425.0,nan,0.7071067811865476,429.5,nan,0.7071067811865476,nan,nan,2.36,nan,0.2,nan,nan,in_situ_normal
430.0,nan,1,429.5,nan,0.7071067811865476,435.0,nan,0.7071067811865476,nan,nan,3.77,nan,0.2,nan,nan,in_situ_normal
440.0,nan,1,435.0,nan,0.7071067811865476,441.5,nan,0.7071067811865476,nan,nan,3.27,nan,0.2,nan,nan,in_situ_normal
443.0,nan,1,441.5,nan,0.7071067811865476,449.0,nan,0.7071067811865476,nan,nan,4.03,nan,0.2,nan,nan,in_situ_normal
455.0,nan,1,449.0,nan,0.7071067811865476,455.5,nan,0.7071067811865476,nan,nan,2.86,nan,0.2,nan,nan,in_situ_normal
456.0,nan,1,455.5,nan,0.7071067811865476,460.0,nan,0.7071067811865476,nan,nan,2.97,nan,0.2,nan,nan,in_situ_normal
464.0,nan,1,460.0,nan,0.7071067811865476,467.5,nan,0.7071067811865476,nan,nan,3.33,nan,0.2,nan,nan,in_situ_normal
471.0,nan,1,467.5,nan,0.7071067811865476,482.0,nan,0.7071067811865476,nan,nan,3.26,nan,0.2,nan,nan,in_situ_normal
493.0,nan,1,482.0,nan,0.7071067811865476,497.75,nan,0.7071067811865476,nan,nan,2.76,nan,0.2,nan,nan,in_situ_normal
502.5,nan,1,497.75,nan,0.7071067811865476,506.25,nan,0.7071067811865476,nan,nan,3.45,nan,0.2,nan,nan,in_situ_normal
510.0,nan,1,506.25,nan,0.7071067811865476,511.5,nan,0.7071067811865476,nan,nan,3.54,nan,0.2,nan,nan,in_situ_normal
513.0,nan,1,511.5,nan,0.7071067811865476,516.0,nan,0.7071067811865476,nan,nan,3.59,nan,0.2,nan,nan,in_situ_normal
519.0,nan,1,516.0,nan,0.7071067811865476,520.5,nan,0.7071067811865476,nan,nan,3.07,nan,0.2,nan,nan,in_situ_normal
522.0,nan,1,520.5,nan,0.7071067811865476,527.25,nan,0.7071067811865476,nan,nan,3.68,nan,0.2,nan,nan,in_situ_normal
532.5,nan,1,527.25,nan,0.7071067811865476,538.25,nan,0.7071067811865476,nan,nan,2.84,nan,0.2,nan,nan,in_situ_normal
544.0,nan,1,538.25,nan,0.7071067811865476,549.75,nan,0.7071067811865476,nan,nan,2.51,nan,0.2,nan,nan,in_situ_normal
555.5,nan,1,549.75,nan,0.7071067811865476,560.75,nan,0.7071067811865476,nan,nan,2.37,nan,0.2,nan,nan,in_situ_normal
566.0,nan,1,560.75,nan,0.7071067811865476,571.5,nan,0.7071067811865476,nan,nan,2.48,nan,0.2,nan,nan,in_situ_normal
577.0,nan,1,571.5,nan,0.7071067811865476,580.0,nan,0.7071067811865476,nan,nan,1.89,nan,0.2,nan,nan,in_situ_normal
583.0,nan,1,580.0,nan,0.7071067811865476,583.0,nan,1.0,nan,nan,2.52,nan,0.2,nan,nan,in_situ_normal
