"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Lower Estuarine Series","Middle Jurassic","300","91.4","-415","-126.5","",""
"Lias","Lower Jurassic","406","123.7","-309","-94.2","",""
"Middle Lias","Lower Jurassic","676","206.0","-39","-11.9","",""
"Lower Lias","Lower Jurassic","850","259.1","135","41.1","",""
"Penarth Group (Rhaetic)","Upper Triassic","1795","547.1","1080","329.2","",""
"Mercia Mudstone (Keuper)","Lower Triassic","1845","562.3","1130","344.4","",""
"Triassic Sandstone (Bunter)","Lower Triassic","2730","832.1","2015","614.1","",""
"?Bunter Shale (Lower Bunter)","Lower Triassic","3590","1094.2","2875","876.3","","Saliferous Marl"
"Zechstein (Upper Permian)","Upper Permian","4279","1304.2","3564","1086.3","","First evaporite"
"Upper Magnesian Limestone","Upper Permian","4448","1355.7","3733","1137.8","",""
"Lower Magnesian Limestone","Lower Permian","5532","1686.1","4817","1468.1","",""
"?Namurian","Middle Carboniferous","5718","1742.8","5003","1524.8","","Namurian or older"
"TD (Namurian or older)","Middle Carboniferous","6756","2059.1","6041","1841.2","",""